ID,a,q,e,i,varpi,w,Node
82158,213.3848459,34.190205750380606,0.8397721,30.80435,185.97661,6.61997,179.35664
90377,549.5480838,76.22242913267678,0.8612998,11.92592,95.48898000000003,311.01037,144.47861
E8209,228.4335407,44.11442292271598,0.8068829,22.71305,85.12619000000001,316.91415,128.21204
i5473,159.8390239,34.355927668285126,0.7850592,4.50691,71.17752999999999,313.73598,117.44155
l4640,345.9086464,47.36492504290559,0.863071,25.49988,33.30596000000003,327.26634,66.03962
o5478,206.7622911,43.92575966634326,0.7875543,10.64244,83.93874,251.99366,191.94508
o6479,157.674928,38.056420622080005,0.75864,15.51059,208.45252,10.5527,197.89982
o8338,170.4710401,33.196149533649184,0.8052681,23.38832,28.731600000000014,355.10741,33.62419
q3622,567.9240503,35.61565304241359,0.937288,18.56583,38.88184000000001,285.92301,112.95883
q7603,197.6863329,35.25286999295816,0.8216727,11.97528,3.11318,338.73937,24.37381
s1132,1418.608757,64.71253380719324,0.9543831,11.67835,59.27186000000006,118.14579,301.12607
s3735,155.4892301,37.089032642829125,0.7614688,14.11512,85.91996999999998,251.63751,194.28246
x4337,178.4265098,35.264090498315134,0.8023607,16.95452,46.44299000000001,303.47993,102.96306
~0I2J,367.2117883,32.14406749473465,0.9124645,15.81808,159.30711999999994,225.03936,294.26776
~0bjT,491.3586464,46.0689513767651,0.9062417,12.39018,8.042050000000017,263.14067,104.90138
~0bkr,327.2745986,38.179331033318256,0.8833416,6.49966,0.5285599999999704,265.71371,94.81485
~0caL,491.3292226,35.32214914193662,0.928109,54.08623,122.98005,347.68188,135.29817
~0dTQ,178.3075567,39.970741385791584,0.7758326,21.38572,94.11505,280.89446,173.22059
K02G32B,202.9858362,35.31092889934513,0.8260424,14.19436,213.87912,36.8354,177.04372
K03Sg2S,194.6962205,39.64641971210011,0.7963678,16.8016,358.20784000000003,207.10169,151.10615
K05R52H,155.3592868,39.06381871970825,0.7485582,20.45366,338.97965,32.76387,306.21578
K10GH4B,356.6899492,48.456186922840324,0.8641504,21.54286,117.85926,347.26893,130.59033
K12VB3P,269.6820373,80.63622362647902,0.7009952,23.99666,25.193299999999965,294.2913,90.902
K13F28S,189.9646581,34.2152944290234,0.819886,13.09682,306.94629,102.31795,204.62834
K13F28T,285.2610774,43.543021059244985,0.8473573,17.40377,258.30969,40.60664,217.70305
K13R98F,382.7161158,36.16028158396616,0.9055167,29.4894,19.967790000000036,312.31045,67.65734
K13RF6C,171.1266505,37.43884901907931,0.7812214,35.01299,309.04881,319.88668,349.16213
K13S99Y,839.9912622,49.91597676147772,0.9405756,4.22267,61.7304,32.21183,29.51857
K13U15H,180.2205705,35.044520705721744,0.8055465,26.07705,99.17563999999993,282.63109,176.54455
K14F72E,2447.679597,36.00536687187,0.98529,20.61112,110.66951999999998,133.9008,336.76872
K14SY9R,307.7532326,47.39147424389268,0.8460082,17.95674,16.563099999999963,341.61517,34.94793
K14Se3X,382.2836224,35.62179958902783,0.9068184,42.95498,324.27819999999997,175.00021,149.27799
K14TB5S,185.0659332,34.853504212742635,0.8116698,18.24834,53.257540000000006,248.72773,164.52981
K14TB5U,365.6089022,34.99315924736641,0.904288,23.52183,57.7996,225.47445,192.32515
K14Wt6B,288.385332,42.78130071593639,0.8516523,24.14856,350.59805,235.59427,115.00378
K15DO8Y,319.9370907,33.93902256258321,0.8939197,12.91547,157.52903000000003,244.5889,272.94013
K15DV9M,275.6010235,39.42544297433609,0.8569474,6.83851,209.02403999999999,43.11969,165.90435
K15Fe0A,311.9827006,35.59969080179475,0.8858921,24.83449,208.82227,207.71041,1.11186
K15Fu1Q,512.0048297,35.48147389386324,0.9307009,1.9284,141.22387000000003,145.04313,356.18074
K15G50T,309.9158994,38.33892112502549,0.8762925,8.80697,174.79306,128.73638,46.05668
K15J13B,364.7214101,32.907098642695516,0.9097747,11.91214,272.57016,158.72329,113.84687
K15KG3G,628.5359776,40.4850708283779,0.9355883,14.00966,251.11536,31.96374,219.15162
K15KG3H,150.5318133,39.9133597646817,0.734851,27.19357,298.55623,230.97945,67.57678
K15OJ3C,202.9679392,34.54021113091745,0.8298243,12.78249,359.19951,152.92537,206.27414
K15OK3B,190.33487,33.369585542348005,0.8246796,15.31852,21.579979999999978,175.88104,205.69894
K15RO5X,454.3877211,45.53055842966221,0.899798,12.1342,73.66806000000001,65.06019,8.60787
K15RO5Y,230.4564033,31.39065105861563,0.8637892,6.03379,336.39732000000004,354.8097,341.58762
K15UA5N,189.4600839,41.472054525374396,0.781104,37.02146,1.1785300000000234,231.73421,129.44432
K15VK7Q,151.0710147,31.4194021739722,0.7920223,28.52378,358.14522,240.52673,117.61849
K16Ea6C,160.2286821,38.747813780615225,0.7581718,37.34398,171.66876000000002,224.75194,306.91682
K16GR7A,152.4822634,35.920079058648255,0.7644311,19.43141,291.48335000000003,178.77511,112.70824
K16S58G,247.0929254,35.113930861328285,0.8578918,13.2105,55.40630999999996,296.3603,119.04601
K16S59A,255.5295788,39.16455858943415,0.8467318,21.52495,15.394490000000019,200.67012,174.72437
K16SA6D,363.8175047,42.685689137437826,0.8826728,4.80526,22.531870000000026,163.05441,219.47746
K16TC0P,171.028628,40.20412715553,0.7649275,32.62786,117.22749999999996,350.36942,126.85808
K17C54L,215.8529745,35.99406630090614,0.8332473,14.90472,156.93219999999997,315.32486,201.60734
K17DH7V,178.4515154,32.51557924042783,0.8177904,23.62035,201.11574000000002,27.16328,173.95246
K17OK1F,846.4127624,45.20504353170673,0.9465922,16.21706,306.7182399999999,337.9966,328.72164
K18A39D,169.7309387,38.8992759931434,0.770818,19.73233,19.90142000000003,49.75186,330.14956
K18V35M,306.7532711,44.625024139253824,0.8545247,8.47613,135.64495,303.30265,192.3423
K19E05U,1150.249432,47.06935700687199,0.959079,18.16063,218.03762,108.89672,109.1409
K19E06E,200.4772175,75.0429127227045,0.6256786,163.32175,245.43015,43.72726,201.70289
K19GJ5T,150.1863082,30.22320730818242,0.7987619,17.72652,127.3311,113.00028,14.33082
K19GJ9E,194.7575232,30.650198922627833,0.8426238,7.81495,122.75174,89.03048,33.72126
K20K54W,170.1975879,43.01366195527361,0.7472722,6.21557,276.97748,149.13118,127.8463
K20M53Q,728.532274,55.602311683953985,0.923679,73.51501,305.5267,18.36231,287.16439
K21D18K,837.2822601,44.58628508903717,0.9467488,15.39748,196.64410999999996,234.37125,322.27286
K21L43P,169.1113401,39.43967322636972,0.7667828,8.99946,144.31644,10.2619,134.05454
K21RK5R,973.7835307,55.64286734937568,0.9428591,7.64886,317.22220000000004,208.77179,108.45041
K23K14Q,246.1022534,65.89486275686362,0.732246,11.00613,270.90363,198.83085,72.07278
K24F26X,251.214984,40.91787147242159,0.8371201,15.67269,192.88886,34.55293,158.33593
